claim_id,piece_id,verbatim_phrase,quote,source_url
f09caff3cb5e,shostakovich_concerto1_mvt3_passacaglia,"anguished, defiant octaves in the solo violin","In an extraordinary, climactic moment, the bass line emerges as anguished, defiant octaves in the solo violin.",https://thelistenersclub.com/2023/03/10/shostakovichs-first-violin-concerto-dangerous-music-for-the-desk-drawer/
1ac8237331d0,sibelius_d_minor_mvt1,apply a certain amount of weight to make the D and G strings sound,"There, one also needs to apply a certain amount of weight to make the D and G strings sound, which makes it even harder for the player later to switch to fast fingerwork.",https://www.thestrad.com/artists/masterclass-leonidas-kavakos-on-the-sibelius-violin-concerto/7349.article
1e94d6f4cbe2,_general,"apply weight of arm through index finger into the bow, releasing at start of each stroke","Apply the weight of your arm through your index finger into the bow, releasing it at the start of each stroke.",https://www.lvlmusicacademy.com/bowing-techniques-violinists/
dedb729a375f,mozart_k216_mvt1,appoggiaturas... played on the beat,"We also discussed Mozart's appoggiaturas, which should be played on the beat and are usually quite clear as to length.",https://www.thestrad.com/playing-hub/keep-it-simple-stupid-recording-mozart-violin-concertos-the-historically-informed-way/13547.article
ce7c2fe6f2dc,mozart_k218_mvt1,appoggiaturas... played on the beat,"We also discussed Mozart's appoggiaturas, which should be played on the beat and are usually quite clear as to length.",https://www.thestrad.com/playing-hub/keep-it-simple-stupid-recording-mozart-violin-concertos-the-historically-informed-way/13547.article
eeba5f2c3447,mendelssohn_e_minor_mvt3,arching arpeggios using the 'ricochet' bow technique,The soloist closes it with arching arpeggios using the 'ricochet' bow technique and continues them as the orchestra begins the main theme,https://coloradomusicfestival.org/mendelssohns-violin-concerto-a-jewel-that-changed-a-genre/
666bbfb73bcd,_general,"arm suspended above the string, bow connects without crushing as it swings in an arc","the arm should be supported and suspended just above the string, allowing the bow to connect without crushing as it swings in an arc",https://stringsmagazine.com/rethinking-your-approach-to-intonation-on-violin/
3141464df1a3,bach_adagio_g_minor_bwv1001,arpeggiating across all the strings requiring a large movement with the bowing arm,"a louder, arpeggiating across all the strings, and requiring a large movement with the bowing arm",https://www.sonatasandpartitas.com/articles/?selected=article_detail&id=2&rtn=article&work_id=27
b56d5ac4b44c,bach_chaconne,arpeggios and scale passages juxtaposed,"Bach appears to have strategically integrated elemental motifs of musical expression. Diatonics and chromatics are juxtaposed, as are major and minor, not to mention arpeggios and scale passages.",https://www.violinorum.com/us/chaconne-johann-sebastian-bach-bwv-1004/
6a9afcf744fa,berg_violin_concerto,"Arpeggios based on the violin's four open strings (G, D, A, E)","Symbolism of the open strings: Arpeggios based on the violin's four open strings (G, D, A, E) appear in succession",https://sorinamu.blog/alban-berg-violin-concerto-to-the-memory-of-an-angel/
c8f8897200b2,saint_saens_3_mvt1,arpeggios played entirely in false harmonics that must be flawlessly in tune,It is a series of arpeggios played entirely in false harmonics that must be flawlessly in tune.,https://violinlounge.com/article/31-violin-concertos-ranked-by-difficulty-level/
edf0b2d19235,sibelius_d_minor_mvt1,arpeggios...with extensions on each run (similar to Paganini's Caprice no.5),"The music from figure 6 is difficult technically – not so much the passage downwards in the first three bars, but the arpeggios...with extensions on each run (similar to Paganini's Caprice no.5)",https://www.thestrad.com/artists/masterclass-leonidas-kavakos-on-the-sibelius-violin-concerto/7349.article
65f6830f70c1,vivaldi_rv356_mvt1,articulate bow strokes that allow each note to speak clearly,The Allegro movement relies on articulate bow strokes that allow each note to speak clearly.,https://heatherkayeviolin.com/vivaldi-violin-concerto-a-minor-allegro/
f8b98d47154d,ernst_erlkonig,artificial harmonics,"This is accomplished through the use of double, triple and quadruple stops, artificial harmonics and left-hand pizzicato.",https://en.wikipedia.org/wiki/Erlk%C3%B6nig_(Schubert)
ac91c81e3780,paganini_caprice_5,ascending arpeggios followed by descending scales,It begins and ends with a section of ascending arpeggios followed by descending scales.,https://en.wikipedia.org/wiki/24_Caprices_for_Solo_Violin_(Paganini)
2d8f04008266,ysaye_sonata4_mvt1,"at first pizzicato ('avec vibrations'), then bowed","The same four notes in reverse go right through the Sarabande, at first pizzicato ('avec vibrations'), then bowed.",https://www.hyperion-records.co.uk/dw.asp?dc=W7757_66940
78af97175ce5,kreisler_praeludium_allegro,bariolage,"there is a huge variety in bowstrokes (detaché, spiccato, bariolage, three-note chords), as well as difficulties for the left hand.",https://stringsmagazine.com/creativity-and-technique-come-together-in-fritz-kreislers-praeludium-and-allegro/
5c5e2d59f9cb,mendelssohn_e_minor_mvt1,bariolage (repeated string crossings),"combination of violin techniques: bariolage (repeated string crossings), spiccato (off-the-string bow stroke), and chords across all four strings.",https://stringsmagazine.com/the-spiccato-bariolage-passage-of-mendelssohns-violin-concerto-is-one-challenge-among-many/
f17d9c5c4734,brahms_sonata3_d_minor_mvt1,bariolage: same pitch in rapid alternation between open and stopped strings,"The atmosphere of mystery is enhanced through the use of _bariolage_ technique, with the violinist playing the same pitch in rapid alternation between open and stopped strings.",https://www.hyperion-records.co.uk/dw.asp?dc=W444_44331
5bea8d14b900,sibelius_d_minor_mvt1,big melodies and double-stops,"the Largamente, with its slow notes, big melodies and double-stops.",https://www.thestrad.com/artists/masterclass-leonidas-kavakos-on-the-sibelius-violin-concerto/7349.article
3a4dc84c9030,bach_preludio_e_major_bwv1006,block fingerings — one finger holding consecutive notes across strings,"Block fingerings are recommended—for example, using one finger to hold consecutive notes across strings. This reduces unnecessary motion.",https://www.tonebase.co/violin-blog-posts/bach-violin-partita-3
9fdc0c0aa2a7,_general,bow choreography — bow in same direction as everyone else's,"bow choreography (if your bow is in the same direction as everyone else's, who's to be any the wiser?)",https://www.thestrad.com/student-hub/fake-it-til-you-make-it-the-art-of-orchestral-faking/14494.article
02d16b36fd5a,bach_a_minor_bwv1041_mvt1,bow control across long phrases,"sustained tone production, bow control across long phrases, expressive phrasing without excess tension, and musical clarity within a slow tempo",https://heatherkayeviolin.com/bach-violin-concerto-a-minor-andante/
68584b2d8cae,massenet_meditation_thais,bow must travel cleanly between adjacent strings without interruption,"Although not fast, the bow must travel cleanly between adjacent strings without interruption. Any hesitation or imbalance in bow arm mechanics can cause unwanted accents or slurred articulations.",https://www.ciximusic.com/can-beginner-violinists-learn-meditation-thais
21f3f0cefa0f,brahms_d_major_mvt1,bowing that really digs into the strings,"evident in the work's energetic phrasing and bowing style that ""really digs into the strings.""",https://usuo.org/explore/2019/01/brahms-concerto-in-d-major-for-violin-and-orchestra-op-77/
d84f6632aadb,brahms_d_major_mvt3,bowing that really digs into the strings,"evident in ""the energy and the style of phrasing, and in bowing that really digs into the strings.""",https://floridaorchestra.org/program-notes/program-notes-brahms-violin-concerto-2223/
df3e0c715fa1,sibelius_d_minor_mvt3,brilliant double and triple stops,"The soloist's ""rhythmic, syncopated response"" features ""brilliant double and triple stops.""",https://houstonsymphony.org/sibelius-violin-concerto/
13e1609c7240,_general,bring left elbow under the instrument for higher positions,Let your elbow help you maneuver around to the higher positions. Bring it under the instrument to have easier access to higher positions,https://heatherkayeviolin.com/how-to-improve-your-violin-shifting/
2f782939de76,mendelssohn_e_minor_mvt1,broken octaves,"double stops, broken octaves, vibrato, articulation, dynamics","https://www.violinwiki.org/wiki/Violin_Concerto_No._2_in_E_minor,_Op._64,_MWV_O_14,_1st_Movement_(Mendelssohn-Bartholdy,_Felix)"
2e5c29069f63,ligeti_concerto_mvt5,"cadenza culminated in singing, whistling, stamping","Kopatchinskaja's own cadenza culminated in singing, whistling, stamping, and more—and not only from her.",https://boulezian.blogspot.com/2023/02/kopatchinskajalsoroth-ligeti-and.html
02519fe84821,bruch_g_minor_mvt1,cadenza which rises from the lowest string (G) to the highest register,The solo violin enters alone with a cadenza which rises from the lowest string (G) to the highest register.,https://stringsmagazine.com/mastering-the-irregular-rhythmic-passages-in-the-first-movement-of-the-bruch-violin-concerto-no-1-in-g-minor/
6fc8302f8701,ysaye_sonata6,cadenza with habanera,"it might be described as a cadenza with habanera, in E major, the Hispanic tone suiting the dedicatee, Manuel Quiroga",https://www.maramarietta.com/the-arts/music/classical/ysaye/
e8cbaefd4722,schoenberg_violin_concerto_mvt1,Cadenza writing offers ample opportunity display from the 'new' fourth finger,Cadenza writing offers ample opportunity display from the 'new' fourth finger,https://boulezian.blogspot.com/2020/03/the-violinist-is-really-playing-fiddle.html
874e9318544f,haydn_c_major_hobviia1_mvt1,chains of dotted rhythms,"Haydn's violin concerti are immediately recognizable for their sprightly use of the violin's high register, chains of dotted rhythms, virtuosic double stops, and ornamental figuration.",https://www.riphil.org/the-story-behind-haydn-s-violin-concerto-in-c-major
d107079d3743,bach_adagio_g_minor_bwv1001,"chord C/A/F# awkward on violin for left hand, requires shift up the neck",the chord C/A/F# is awkward on the violin for the left hand. It also requires a shift up the neck,https://www.sonatasandpartitas.com/articles/?selected=article_detail&id=2&rtn=article&work_id=27
077b1f001228,stravinsky_concerto_d_mvt1,chord which stretches from D4 to E5 to A6,"Early in the compositional process, Stravinsky devised a chord which stretches from D4 to E5 to A6.",http://themusicsalon.blogspot.com/2015/07/concerto-guide-stravinsky-concerto-in-d.html
0a67fe4565bb,paganini_caprice_1,chordal playing with ricochet bowing across all 4 strings,"Nicknamed ""The Arpeggio"", this composition matches chordal playing with ricochet bowing across all 4 strings.",https://en.wikipedia.org/wiki/24_Caprices_for_Solo_Violin_(Paganini)
2f3828464706,haydn_c_major_hobviia1_mvt1,chords,"intonation, string crossings, shifting, legato, staccato, portato, fast runs, ornaments, trills, double stops, chords, vibrato, articulation, dynamics","https://www.violinwiki.org/wiki/Violin_Concerto_No._1_in_C_major,_Hob._VIIa:1,_1st_Movement_(Haydn,_Franz_Joseph)"
148e93e79add,lalo_symphonie_espagnole_mvt1,chords,"intonation, glissando, harmonics, ornaments, legato, staccato, 1-15th position, chords, vibrato, articulation, dynamics","https://www.violinwiki.org/wiki/Symphonie_espagnole,_Op._21,_1st_Movement_(Lalo,_%C3%89douard)"
d0c123a44cf1,mendelssohn_e_minor_mvt3,chords,"harmonics, right hand pizzicato, chords, vibrato, articulation, dynamics","https://www.violinwiki.org/wiki/Violin_Concerto_No._2_in_E_minor,_Op._64,_MWV_O_14,_3rd_Movement_(Mendelssohn-Bartholdy,_Felix)"
b07ccbda73b9,mendelssohn_e_minor_mvt1,chords across all four strings,"bariolage (repeated string crossings), spiccato (off-the-string bow stroke), and chords across all four strings.",https://stringsmagazine.com/the-spiccato-bariolage-passage-of-mendelssohns-violin-concerto-is-one-challenge-among-many/
0b3c1d941d24,kreisler_praeludium_allegro,chords – three of four notes that must sound simultaneously,The final part of this piece can be challenging for many younger violinists because it contains many chords – three of four notes that must sound simultaneously.,https://www.cmuse.org/kreisler-praeludium-and-allegro-difficulty/
449dfc9f41e5,wieniawski_legende,chromatic downward scale for the soloist,"After a chromatic downward scale for the soloist and short transitional material, the music reverts back to three in a bar",https://muswrite.blogspot.com/2014/07/wieniawski-legende-for-violin-and.html
ecb9471d6e8a,ysaye_sonata3_ballade,climbing double stops,The ending builds first with single notes and then with climbing double stops.,https://www.laphil.com/musicdb/pieces/4590/violin-sonata-in-d-minor-op-27-no-3-ballade
2c9f0655c9d5,_general,"col legno — flip the bow upside down, play with the wood against the strings","Col legno flips the bow upside down, letting you play with the wood against the strings for a unique timbre.",https://www.lvlmusicacademy.com/bowing-techniques-violinists/
1e315323d30a,wieniawski_legende,con sordino,"Wieniawski makes some interesting markings in the music: ""con sordino"" and ""sotto voce."" The former marking tells the violinist to put a concert mute on their instrument",https://catthecynic.wixsite.com/catsmusicalmusings/post/wieniawski-s-legende-ary-love
9f6cc7f5a420,kreisler_praeludium_allegro,confident and energetic bow stroke in every note while shifting constantly,"the violinist must keep a confident and energetic bow stroke in every note while shifting constantly from one position to the other, as the shifts happen at every few notes.",https://www.cmuse.org/kreisler-praeludium-and-allegro-difficulty/
1b429627122f,massenet_meditation_thais,"consistent vibrato... On the G and D strings, warmth and breadth; on A and E, faster and more focused","On the G and D strings, that vibrato needs warmth and breadth. On the A and E strings, it needs to be faster and more focused.",https://www.ciximusic.com/can-beginner-violinists-learn-meditation-thais
dc3f5de8491d,bach_presto_g_minor_bwv1001,constant sixteenth-note motion and single-voice texture,The Presto closing movement runs along in constant sixteenth-note motion and single-voice texture until the concluding chords of each half.,"https://www.parlancechamberconcerts.org/individual-program-notes/johann-sebastian-bach-(1685-1750)/adagio-and-presto-from-sonata-no.-1-in-g-minor-for-unaccompanied-violin,-bwv-1001"
7db724cf6d80,bach_adagio_g_minor_bwv1001,constant sixteenth-note motion in single-voice texture,The Presto closing movement runs along in constant sixteenth-note motion and single-voice texture until the concluding chords of each half.,"https://www.parlancechamberconcerts.org/individual-program-notes/johann-sebastian-bach-(1685-1750)/adagio-and-presto-from-sonata-no.-1-in-g-minor-for-unaccompanied-violin,-bwv-1001"
22e317bc4775,bach_preludio_e_major_bwv1006,continuous sixteenth notes requiring sustained right-hand engagement,"For the continuous sixteenth notes, the right hand requires sustained engagement. Bow should remain flat on the hair and play straight to maintain clarity during string-crossing passages.",https://www.tonebase.co/violin-blog-posts/bach-violin-partita-3
d72df3e65cca,mozart_k216_mvt1,creating depth and direction with bow speed rather than vibrato,"I especially enjoyed exploring this aspect of sound production with Norrington, creating depth and direction with bow speed rather than vibrato.",https://www.thestrad.com/playing-hub/keep-it-simple-stupid-recording-mozart-violin-concertos-the-historically-informed-way/13547.article
9c60f56d86f2,mozart_k218_mvt1,creating depth and direction with bow speed rather than vibrato,"I especially enjoyed exploring this aspect of sound production with Norrington, creating depth and direction with bow speed rather than vibrato.",https://www.thestrad.com/playing-hub/keep-it-simple-stupid-recording-mozart-violin-concertos-the-historically-informed-way/13547.article
2ea9d0b82cfb,ernst_last_rose_variations,cross-string arpeggios,Examples of Ernst's brilliant improvisation are cross-string arpeggios and the use of left-hand pizzicato to pluck out the melody while a running scale accompaniment plays on.,https://www.flyinginkpot.com/1998/05/inkpot53-classical-music-reviews-ernst-music-for-violin-turbanbria-claves/
311c4c4d7241,ernst_erlkonig,cross-string arpeggios and the use of left-hand pizzicato,Examples of Ernst's brilliant improvisation are cross-string arpeggios and the use of left-hand pizzicato to pluck out the melody while a running scale accompaniment plays on.,https://www.flyinginkpot.com/1998/05/inkpot53-classical-music-reviews-ernst-music-for-violin-turbanbria-claves/
1596fafdac13,mendelssohn_e_minor_mvt1,crossing four strings,Here are some examples to help you master this pattern of crossing four strings.,https://stringsmagazine.com/the-spiccato-bariolage-passage-of-mendelssohns-violin-concerto-is-one-challenge-among-many/
885238169ecb,ysaye_sonata6,dance characteristics and virtuosic demands of the single-movement No. 6,the pictorial ideas and Paganiniesque effects in No. 5; and the dance characteristics and virtuosic demands of the single-movement No. 6.,https://www.maramarietta.com/the-arts/music/classical/ysaye/
b449e5e045ef,sibelius_d_minor_mvt3,dance rhythm of the semiquaver followed by a dotted quaver,The dance rhythm of the semiquaver followed by a dotted quaver is a particularly Hungarian idiom.,https://www.thestrad.com/artists/masterclass-leonidas-kavakos-on-the-sibelius-violin-concerto/7349.article
7109ce7c8321,sibelius_d_minor_mvt1,demanding sixteenth-note runs and double-stopped figures,"a serenely dissonant G-natural that hovers over a bed of D-minor tremolos in the orchestra before resolving up a step,"" followed by demanding sixteenth-note runs and double-stopped figures.",https://artsfuse.org/252618/music-commentary-jean-sibeliuss-violin-concerto-the-universal-concerto/
36bb62803b6a,bach_fugue_g_minor_bwv1001,densely worked theme almost ever present and discernible throughout,"The Fuga which follows is concisely argued, its densely worked theme almost ever present and discernible throughout.",https://www.hyperion-records.co.uk/tw.asp?w=W6733
e8c6edd651f9,paganini_caprice_1,descending scales in thirds,"The piece opens in E major and then quickly transitions into an E minor development section, where descending scales in thirds are introduced.",https://en.wikipedia.org/wiki/24_Caprices_for_Solo_Violin_(Paganini)
a21f44b7ba78,wieniawski_2_mvt1,descending upbow staccato scales,"The end of the first movement is full of descending upbow staccato scales, a very difficult and impressive technique.",https://violinlounge.com/article/31-violin-concertos-ranked-by-difficulty-level/
86ff4a1d3d0a,kreisler_praeludium_allegro,detaché,"there is a huge variety in bowstrokes (detaché, spiccato, bariolage, three-note chords), as well as difficulties for the left hand.",https://stringsmagazine.com/creativity-and-technique-come-together-in-fritz-kreislers-praeludium-and-allegro/
a9e8987dd01f,_general,detaché collé — slow-motion spiccato lifting the bow at the changes,"try detaché collé, a slow-motion spiccato where you lift the bow at the changes.",https://www.lvlmusicacademy.com/bowing-techniques-violinists/
075d7c2ad542,_general,detaché porté — emphasize start of each stroke with higher bow speed but no pressure accents,"detaché porté, where you emphasize the start of each stroke with higher bow speed but without pressure accents",https://www.lvlmusicacademy.com/bowing-techniques-violinists/
1b6cdcd09f74,_general,detaché — separate strokes with seamless bow change,"Detaché is a versatile technique found in almost every violin repertoire. It involves separate strokes, down and up, with a seamless bow change.",https://www.lvlmusicacademy.com/bowing-techniques-violinists/
7c95811750ff,ligeti_concerto_mvt5,devil-take-the-hindmost rhythmic complexity,"In Ligeti's Concerto, Hadelich has the measure of the devil-take-the-hindmost rhythmic complexity.",https://www.thestrad.com/reviews/augustin-hadelich-brahms-ligeti/9137.article
f340b32fff06,bach_presto_g_minor_bwv1001,digital and rhythmic dexterity and preciseness of pitch,They demand not only unfaltering facility in matters of digital and rhythmic dexterity and preciseness of pitch,https://www.laphil.com/musicdb/pieces/3505/sonata-no-1-in-g-minor-for-solo-violin-bwv-1001
95dbfa9d6a3e,bach_adagio_g_minor_bwv1001,digital and rhythmic dexterity and preciseness of pitch in the multiple stoppings,"They demand not only unfaltering facility in matters of digital and rhythmic dexterity and preciseness of pitch, particularly in the multiple stoppings",https://www.laphil.com/musicdb/pieces/3505/sonata-no-1-in-g-minor-for-solo-violin-bwv-1001
d90d8f816bef,bach_fugue_g_minor_bwv1001,digital and rhythmic dexterity and preciseness of pitch in the multiple stoppings,"They demand not only unfaltering facility in matters of digital and rhythmic dexterity and preciseness of pitch, particularly in the multiple stoppings",https://www.laphil.com/musicdb/pieces/3505/sonata-no-1-in-g-minor-for-solo-violin-bwv-1001
957cd0810b4d,paganini_caprice_24,double and triple stops,"tremendously fast scales and arpeggios, double and triple stops, left hand pizzicato, parallel octaves and tenths, rapid shifting, and string crossings.",https://en.wikipedia.org/wiki/24_Caprices_for_Solo_Violin_(Paganini)
4361ee2cdcc7,schoenberg_violin_concerto_mvt1,double and triple stops that probably aren't written to be very ergonomic,"There are double and triple stops that probably aren't written to be very ergonomic, as well as (what I assume is left-hand) pizzicato intertwined with the rest of the bowed solo part.",https://fugueforthought.de/2017/09/01/schoenberg-violin-concerto-op-36/
007e75e067ca,wieniawski_legende,double stop section,"the music suddenly sighs with relief on a cadence in G Major, introducing a sublime double stop section. By design, the violinist has to slide across the fingerboard in order to play the double stops.",https://catthecynic.wixsite.com/catsmusicalmusings/post/wieniawski-s-legende-ary-love
3addc2f66fd4,ernst_last_rose_variations,double stops,"Notice the combination of dazzling violinistic effects employed, from double stops and left hand pizzicato to harmonics, up bow staccato and spiccato bowing.",https://thelistenersclub.com/2013/09/02/the-last-rose-of-summer/
fdfda4da20e5,haydn_c_major_hobviia1_mvt1,double stops,"intonation, string crossings, shifting, legato, staccato, portato, fast runs, ornaments, trills, double stops, chords, vibrato, articulation, dynamics","https://www.violinwiki.org/wiki/Violin_Concerto_No._1_in_C_major,_Hob._VIIa:1,_1st_Movement_(Haydn,_Franz_Joseph)"
1e5a8da62536,mendelssohn_e_minor_mvt1,double stops,"trills, harmonics, double stops, broken octaves, vibrato, articulation, dynamics","https://www.violinwiki.org/wiki/Violin_Concerto_No._2_in_E_minor,_Op._64,_MWV_O_14,_1st_Movement_(Mendelssohn-Bartholdy,_Felix)"
b494f31d92e9,ravel_tzigane,double stops at the octave,"we have a section of the same melody, with double stops at the octave, followed by trills, harmonics, and more exciting fireworks.",https://fugueforthought.de/2016/08/04/ravel-tzigane/
9697d4fdf200,paganini_caprice_17,double stops on the lower two strings,thirty-second note runs on the A and E strings that converse back and forth with double stops on the lower two strings.,https://en.wikipedia.org/wiki/24_Caprices_for_Solo_Violin_(Paganini)
128b9766641b,paganini_caprice_24,"double stops, including thirds and tenths","Additionally, there are many double stops, including thirds and tenths.",https://en.wikipedia.org/wiki/Caprice_No._24_(Paganini)
b570449ab75a,ernst_erlkonig,"double, triple and quadruple stops","This is accomplished through the use of double, triple and quadruple stops, artificial harmonics and left-hand pizzicato.",https://en.wikipedia.org/wiki/Erlk%C3%B6nig_(Schubert)
23188b6e3d6b,kreisler_praeludium_allegro,double-stop-ridden final issue of the theme,"a flash-and-dazzle quasi-cadenza, over a rumbling dominant pedal-point in the bass register of the piano, and a strong-willed, double-stop-ridden final issue of the theme.",https://sin80.com/en/work/kreisler-praeludium-allegro
b5f79ea4b26c,brahms_d_major_mvt3,double-stopped melody,"The finale presents ""double-stopped melody"" with ""a long, dramatic coda shared between the orchestra and soloist.""",https://redwoodsymphony.org/piece/violin-concerto-brahms/
c8d6ed3a7a60,brahms_d_major_mvt3,double-stopped thirds,"Brahms' Violin Concerto, which possesses a Finale theme of similar rhythmic vigour, also in double-stopped thirds",https://feargushetherington.com/repertoire/direct-from-the-violin/bruch-violin-concerto-no1-op26/programme-note/
c45a5bc07bd9,bruch_g_minor_mvt3,double-stopped thirds,"Brahms' Violin Concerto, which possesses a Finale theme of similar rhythmic vigour, also in double-stopped thirds, was completed just ten years after Bruch's.",https://feargushetherington.com/repertoire/direct-from-the-violin/bruch-violin-concerto-no1-op26/programme-note/
3545a4156787,kreisler_praeludium_allegro,"double-stops without the open E, then adding the open E to get accustomed to lifting your fingers","A great way to work on left-hand intonation is to practice this passage in double-stops without the open E, then adding the open E to get accustomed to lifting your fingers.",https://stringsmagazine.com/creativity-and-technique-come-together-in-fritz-kreislers-praeludium-and-allegro/
4837b71180e2,brahms_d_major_mvt1,"double-stops, vigorous bowing, and the full range of violin pyrotechnics","Brahms' violin concerto showcases ""double-stops, vigorous bowing, and the full range of violin pyrotechnics,""",https://usuo.org/explore/2019/01/brahms-concerto-in-d-major-for-violin-and-orchestra-op-77/
c3fefa5f7244,brahms_d_major_mvt3,"double-stops, vigorous bowing, and the full range of violin pyrotechnics","The concerto features ""double-stops, vigorous bowing, and the full range of violin pyrotechnics,"" distinguishing it from Brahms' more subtle piano concertos.",https://floridaorchestra.org/program-notes/program-notes-brahms-violin-concerto-2223/
6c7349cbc1d2,_general,drawing the bow from frog to tip on open strings,"For six months I had lessons on open strings, drawing the bow from frog to tip.",https://www.thestrad.com/playing-hub/aaron-rosand-on-how-to-produce-a-beautiful-tone/264.article
675af73d0db7,_general,drawing the bow without exerting pressure on the stick,one must practise creating the sound that can be made when one draws the bow without exerting pressure on the stick,https://www.thestrad.com/playing-hub/aaron-rosand-on-how-to-produce-a-beautiful-tone/264.article
387df71d178c,brahms_d_major_mvt3,dynamic rising scale in octaves,"The movement features ""a dynamic rising scale in octaves and a beautifully lyrical episode"" with metric shifts from 2/4 to 3/4",https://www.laphil.com/musicdb/pieces/6755/violin-concerto
83bc1a6636dd,vivaldi_rv356_mvt1,early work in third position,"Many violinists first encounter it while developing comfort with concerto form, expressive phrasing, early work in third position, and coordination between bow articulation and musical structure.",https://heatherkayeviolin.com/vivaldi-violin-concerto-a-minor-allegro/
6cfcc74e20f6,bach_adagio_g_minor_bwv1001,"elaborate carefully notated ornamentation giving a free, improvisatory impression","Bach's elaborate ornamentation in the G minor Adagio makes a fitting opening... his ornamentation is carefully notated, though the Adagio gives a free, improvisatory impression","https://www.parlancechamberconcerts.org/individual-program-notes/johann-sebastian-bach-(1685-1750)/adagio-and-presto-from-sonata-no.-1-in-g-minor-for-unaccompanied-violin,-bwv-1001"
8965f0219490,sarasate_carmen_fantasy,ending in flageolets,"Carmen's mocking theme, ending in flageolets.",https://en.wikipedia.org/wiki/Carmen_Fantasy_(Sarasate)
99f6b9d20476,bruch_g_minor_mvt1,endurance of tone – in sustaining a phrase,The challenge lies not in brilliance but in the endurance of tone – in sustaining a phrase so that it unfolds with inevitability rather than urgency.,https://www.thestrad.com/playing-hub/form-revealed-bruchs-violin-concerto-and-the-discipline-of-fire/20942.article
78a31e0d60cb,stravinsky_concerto_d_mvt1,"enormous stretch, from the E to the top A","I had never seen a chord with such an enormous stretch, from the E to the top A, and I said 'No.'",https://houstonsymphony.org/stravinsky-violin-concerto/
16cd38898516,beethoven_d_major_mvt1,Establishing the octave shape between first and fourth fingers,Establishing the octave shape between first and fourth fingers (or first and third in higher registers) requires adjusting finger distance based on fingerboard position.,https://stringsmagazine.com/a-new-way-to-practice-the-octaves-in-beethovens-violin-concerto/
9958ff9fa48e,sarasate_zigeunerweisen,executing precise pizzicato and fast shifts,from mastering harmonics and intricate left-hand passage work to executing precise pizzicato and fast shifts.,https://strings.tonebase.co/online-violin-courses/vln-timothy-chooi-sarasate-zigeunerweisen
b4bfd4e79f09,sibelius_d_minor_mvt1,expressive and incredibly demanding figuration,"The soloist develops the opening melody's beginning with ""expressive and incredibly demanding figuration""",https://houstonsymphony.org/sibelius-violin-concerto/
99fd2124987d,massenet_meditation_thais,expressive vibrato across strings and registers,It asks for expressive vibrato across strings and registers and demands seamless legato playing across a wide range of dynamics.,https://www.ciximusic.com/can-beginner-violinists-learn-meditation-thais
